target,tier,model,scheme,n,rmse_log,mae_log,r2_log,medape,r2_fold_mean,r2_fold_sd,rmse_fold_mean,rmse_fold_sd,r2_main_stem,rmse_main_stem,r2_reservoir,rmse_reservoir,r2_treatment,rmse_treatment,r2_tributary,rmse_tributary,best_params,seconds
HAAFP,base,site_median,site,692,0.2932252950262267,0.2401579748535019,-0.016932237351789,0.4720442331541959,-0.1233181706418687,0.126524687978616,0.2898321078123271,0.0474353196495901,-0.5413141768123437,0.2679116857548181,-0.3324332384418051,0.2864226706951863,-0.9807803550273936,0.3248776376050994,-0.3161283398058374,0.286249496170635,,0.0
HAAFP,base,persistence,site,692,0.2433880236512029,0.1759866232544905,0.2993718872095755,0.28,0.1747362490477332,0.3301124397730423,0.240112581306577,0.0410813864529695,-0.4214056735111959,0.257279446553588,-0.1101416740699883,0.2614411011394448,0.0692893880148384,0.2226942436722628,0.1082799565236364,0.2356187647449635,,0.0
HAAFP,base,median,forward,176,0.3588462013762021,0.3079357508148913,-0.0275612707431716,0.5851826561966542,-0.0275612707431716,0.0,0.3588462013762021,0.0,-0.7262243092823024,0.3846656704544564,-0.1018033136902927,0.3020572964151527,-0.3922465433425972,0.3456449000413784,-0.6047583145794062,0.3545511304746612,,0.0
HAAFP,base,site_median,forward,176,0.2720438046814999,0.2030021464545964,0.4094336457971922,0.3219200503590961,0.4094336457971922,0.0,0.2720438046814999,0.0,-0.0960958771375037,0.3065201908961796,-0.2238771109585471,0.3183509866033727,0.393863779372524,0.228064241769256,0.4080338184703965,0.2153389075526267,,0.0
HAAFP,base,persistence,forward,176,0.3441600563035232,0.2556991793097921,0.0548256033618259,0.4451171735878623,0.0548256033618259,0.0,0.3441600563035232,0.0,-0.7470260651622025,0.3869764244597657,-0.5505866675907234,0.3583317714322397,-0.027825526257708,0.2969831290926141,-0.1725998027830371,0.3030741986878639,,0.0
THMFP,1,ridge,random,1386,0.1877135157020334,0.1304059208762556,0.5479631771925447,0.1972397740758643,0.5469692035209677,0.0731709062736098,0.1865216680014473,0.0207396267841381,0.4362778997264084,0.1753623904456388,0.3557974029867006,0.2506373491018479,0.4050099299089852,0.1858111259323235,0.5295971050280156,0.1679991457387429,,0.0
THMFP,1,hgb,random,1386,0.1778690063632639,0.1223373595952186,0.5941334272040995,0.1930276525157477,0.5927651660781821,0.0836569528337127,0.1763557622658089,0.0228117283784014,0.5031019143796023,0.1646408456225268,0.2892310604114164,0.2632684238474386,0.5432210091161982,0.1628058164073641,0.5344952837928504,0.1671221919450204,"{'l2_regularization': 0.217, 'learning_rate': 0.027, 'max_depth': 6.0, 'max_iter': 153.0, 'min_samples_leaf': 10.0}",6.1
THMFP,1,xgb,random,1386,0.1769196393050629,0.1219747981331837,0.5984544503948855,0.1870067923151144,0.5967775618507918,0.0849626259460478,0.1753942776480712,0.0228764959250147,0.5121521341742468,0.1631346182404149,0.2592152604465243,0.2687698608424874,0.5612743782312175,0.1595560789720504,0.5460072251150516,0.165042787895691,"{'colsample_bytree': 0.652, 'learning_rate': 0.041, 'max_depth': 3.0, 'min_child_weight': 5.0, 'n_estimators': 353.0, 'reg_lambda': 9.479, 'subsample': 0.641}",12.9
THMFP,2,ridge,random,1386,0.1861277968083219,0.1320387868422236,0.5555681246862401,0.2113750183943475,0.5542779562652663,0.0734137042086428,0.1849745241259412,0.0204020188158722,0.4308416493243667,0.1762059147297279,0.3810975693360218,0.2456663351354364,0.4250963920664666,0.1826477695861852,0.534579144877762,0.1671071376618907,,0.1
THMFP,2,hgb,random,1386,0.1720599837836748,0.1165249979616008,0.6202109128111319,0.1736485747772805,0.6185797563688729,0.0893695252701685,0.1703533313868828,0.0239305247768527,0.5379202794131622,0.1587677831077478,0.3335691922228029,0.2549247990321925,0.5689574363650979,0.1581528179738885,0.5671567614039139,0.1611526306755817,"{'l2_regularization': 0.482, 'learning_rate': 0.06, 'max_depth': 5.0, 'max_iter': 347.0, 'min_samples_leaf': 11.0}",5.2
